strain	date	country	date_submitted	recency	lineage	region	host	clade_membership	author	accession	dinuc_context_fraction	GA_CT_fraction
MPXV_USA_2022_KY0001	2022-06-30	USA	2022-08-26	Older	B.1.13	North America	Homo sapiens	IIb	Gigante,C.M., Winter,K., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Arora,V., Li,Y.	OP303788	1.00	1.00
MpxV/human/USA/WA-UW-088973/2022	2022-08-12	USA	2022-08-26	Older	B.1	North America	Homo sapiens	IIb	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	OP310065	1.00	1.00
MPxV/Prague_001/2022/flye_medaka	2022-04-28	Czech Republic	2022-07-14	Older	B.1	Europe	Homo sapiens	IIb	Chmel,M., Pajer,P., Nagy,A., Zlamal,M., Jirincova,H., Dresler,J., Bartos,O.	ON983168		
Monkeypox/PT0356/2022	2022-05-23	Portugal	2022-09-12	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414383		
PrEV_case_1	2022-08-27	Belgium	2022-10-27	Older	B.1	Europe	Homo sapiens	IIb	Berens-Riha,N., De Block,T., Rutgers,J., Van Gestel,L., Hens,M., Kenyon,C., Soentjens,P., Van Griensven,J., Brosius,I., Arien,K., Van Esbroeck,M., Rezende,A.M., Vercauteren,K.	OP727821		
MPXV_UK_2022_9000158	2022-07-07	United Kingdom	2022-08-11	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205116		
Monkeypox virus/Human/USA/CA-LACPHL-MA00227/2022	2022-10-03	USA	2022-10-19	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP680505		
Monkeypox virus/Human/USA/CA-LACPHL-MA00226/2022	2022-10-03	USA	2022-10-19	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP680504		
MPXV/Germany/2022/ON/RKI603	2022-08-19	Germany	2022-11-21	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP863253		
MPXV/Germany/2022/ON/RKI502	2022-08-19	Germany	2022-10-20	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP689655		
Monkeypox virus/Human/USA/CA-LACPHL-MA00230/2022	2022-10-03	USA	2022-10-19	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP680508		
Monkeypox virus/Human/USA/CA-LACPHL-MA00223/2022	2022-10-03	USA	2022-10-19	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP680501		
Monkeypox virus/Human/USA/CA-LACPHL-MA00229/2022	2022-10-03	USA	2022-10-19	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP680507		
Monkeypox virus/Human/USA/CA-LACPHL-MA00225/2022	2022-10-03	USA	2022-10-19	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP680503		
MPXV/Germany/2022/RKI399	2022-09-01	Germany	2022-09-26	Older	B.1.12	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP524001	1.00	1.00
MpxV/human/CAN/UN-NML-3342/2022	2022-06-01	Canada	2022-06-30	Older	B.1.12	North America	Homo sapiens	IIb	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880540	1.00	1.00
MpxV/human/CAN/UN-NML-3448/2022	2022-06-03	Canada	2022-06-30	Older	B.1.12	North America	Homo sapiens	IIb	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880548		
hMpxV/Human/USA/IL-RIPHL-MPXV_10015/2022	2022-10-18	USA	2022-12-27	One month ago	B.1.12	North America	Homo sapiens	IIb	Barbian,H., Green,S., Kunstman,K., Araujo Perez,F., Bobrovska,S., Hayden,M., Moore,N.	OQ121959	0.88	1.00
MpxV/human/CAN/UN-NML-3276/2022	2022-05-31	Canada	2022-07-19	Older	B.1.12	North America	Homo sapiens	IIb	Duggan,A., Hole,D., Yadav,C., Knox,N., Chapel,M., Tyler,A., Haidl,E., Domselaar,G.V., Antonation,K., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Leung,A., Jolly,G., Fafard,J., Charest,H., Levade,I.	OP013003		
MPX/BR0002/2022	2022-06-14	Brazil	2022-06-30	Older	B.1.12	South America	Homo sapiens	IIb	Coletti,T.M., Ghilardi,F., khan,M.J., Claro,I.M., Valenca,I.N., Faria,N.R., Sabino,E.C.	ON880413	1.00	1.00
MpxV/human/CAN/UN-NML-3972/2022	2022-07-04	Canada	2022-08-22	Older	B.1.12	North America	Homo sapiens	IIb	Duggan,A., Hole,D., Yadav,C., Knox,N., Tyler,A., Haidl,E., Chapel,M., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Antonation,K., Griffiths,E., Jolly,G., Charest,H., Levade,I., Fafard,J.	OP270022	1.00	1.00
MPXV22/human/USA-NE-25	2022-06-25	USA	2022-08-08	Older	B.1.12	North America	Homo sapiens	IIb	Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.	OP171919	1.00	1.00
MPX_ilzdZn_9000269	2022-08-01	United Kingdom	2022-09-12	Older	B.1.12	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP415236	1.00	1.00
BOL-UNIMOL-MPX-293015-L	2022-08-24	Colombia	2022-09-08	Older	B.1.12	South America	Homo sapiens	IIb	Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.	OP390179		
hMPXV-IHU00008	2022-07-05	France	2022-09-07	Older	B.1.12	Europe	Homo sapiens	IIb	Colson,P.	OP382485		
MPXV/Germany/2022/RKI018	2022-05-18	Germany	2022-06-07	Older	B.1.15	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	ON694335		
DC_INS_MPX_0722_L	2022-08-23	Colombia	2022-10-21	Older	B.1.15	South America	Homo sapiens	IIb	Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M.	OP693654		
BOL-UNIMOL-MPX-292803-L	2022-08-02	Colombia	2022-09-08	Older	B.1.15	South America	Homo sapiens	IIb	Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.	OP390175		
MET_INS_MPX_0956_C	2022-10-12	Colombia	2022-11-14	Older	B.1.15	South America	Homo sapiens	IIb	Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.	OP819950	1.00	1.00
CES-UNIMOL-MPX-202203848-L	2022-09-14	Colombia	2022-12-06	Older	B.1.15	South America	Homo sapiens	IIb	Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.	OP959066		
DC_INS_MPX_1037_L	2022-09-20	Colombia	2022-11-16	Older	B.1.15	South America	Homo sapiens	IIb	Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.	OP837480	0.67	1.00
CES-UNIMOL-MPX-202203853-L	2022-09-15	Colombia	2022-12-06	Older	B.1.15	South America	Homo sapiens	IIb	Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.	OP959067		
BOL-UNIMOL-MPX-293130-L	2022-09-03	Colombia	2022-10-13	Older	B.1.15	South America	Homo sapiens	IIb	Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.	OP623590		
DC_INS_MPX_0998_L	2022-09-20	Colombia	2022-11-16	Older	B.1.15	South America	Homo sapiens	IIb	Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.	OP837477	1.00	1.00
BOL-UNIMOL-MPX-293165-L	2022-08-09	Colombia	2022-10-13	Older	B.1.15	South America	Homo sapiens	IIb	Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.	OP623592		
BOL-UNIMOL-MPX-293059-L	2022-08-29	Colombia	2022-09-08	Older	B.1.15	South America	Homo sapiens	IIb	Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.	OP390180	1.00	1.00
hMpxV/USA/CA-CDPH-1000073/2022	2022-11-06	USA	2022-12-26	Older	B.1	North America	Homo sapiens	IIb	Probert,W., Espinosa,A., Kath,C., Haw,M., Bell,J., Hacker,J.	OQ121027		
hMpxV/USA/CA-CDPH-1000074/2022	2022-10-14	USA	2022-12-26	Older	B.1	North America	Homo sapiens	IIb	Probert,W., Espinosa,A., Kath,C., Haw,M., Bell,J., Hacker,J.	OQ121028		
hMPXV/Austria/MUW1539124/2022	2022-08-02	Austria	2022-09-13	Older	B.1	Europe	Homo sapiens	IIb	Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.	OP422342		1.00
hMPXV/Austria/MUW1538395/2022	2022-08-01	Austria	2022-09-13	Older	B.1	Europe	Homo sapiens	IIb	Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.	OP422341		
MPX/PT0115/2022	2022-07-14	Portugal	2022-08-17	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP245349	1.00	1.00
Monkeypox/PT0552/2022	2022-08-27	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555623		
Monkeypox/PT0181/2022	2022-06-28	Portugal	2022-08-29	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324496	1.00	1.00
Monkeypox/PT0580/2022	2022-09-09	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555651	1.00	1.00
Monkeypox/PT0417/2022	2022-07-27	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555509		
Monkeypox/PT0567/2022	2022-09-03	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555638		
Monkeypox/PT0578/2022	2022-09-12	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555649		
Monkeypox/PT0568/2022	2022-09-02	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555639		
Lesion	2022-05-22	Sweden	2022-06-01	Older	B.1.14	Europe	Homo sapiens	IIb	Pettke,A., Filen,F., Asgeirsson,H., Glans,H., Widgren,K., Muradrasoli,S., Helgesson,S., Karlberg,M.L., Walai,N., Bjerkner,A., Gourle,H., Lindsjo,O.K., Sonden,K.	OX009124		
MPXV/Germany/2022/RKI011	2022-05-19	Germany	2022-06-07	Older	B.1.14	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON694342		
MPXV/Germany/2022/ON/RKI668	2022-05-19	Germany	2023-01-24	1-2 days ago	B.1.14	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OQ274887		
MPXV/Germany/2022/RKI586	2022-06-30	Germany	2022-11-16	Older	B.1.14	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP837348	1.00	1.00
MPXV_USA_2022_NY002	2022-05-19	USA	2022-07-11	Older	B.1.14	North America	Homo sapiens	IIb	Gigante,C.M., Hughes,S., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.	ON959133		
MPXV_USA_2022_NY004	2022-05-31	USA	2022-07-11	Older	B.1.14	North America	Homo sapiens	IIb	Gigante,C.M., Hughes,S., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.	ON959135	1.00	1.00
MpxV/human/USA/WA-UW-099102/2022	2022-09-01	USA	2022-10-31	Older	B.1.14	North America	Homo sapiens	IIb	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	OP743966	1.00	1.00
MPXV/Germany/2022/RKI019	2022-05-22	Germany	2022-06-07	Older	B.1.14	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.	ON694330	1.00	1.00
MPXV_USA_2022_TX0010	2022-06-25	USA	2022-09-06	Older	B.1.14	North America	Homo sapiens	IIb	Gigante,C.M., Kubin,G., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., White,S.L., Li,Y.	OP378704		
MPXV/Germany/2022/RKI179	2022-07-31	Germany	2022-07-19	Older	B.1.14	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP018604	1.00	0.33
Monkeypox/PT0573/2022	2022-09-06	Portugal	2022-09-30	Older	B.1.14	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555644	1.00	1.00
MPXV/Germany/2022/ON/RKI320	2022-09-01	Germany	2022-09-22	Older	B.1.14	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP494266		
Slovenia-MPXV-10-2022	2022-07-01	Slovenia	2022-10-11	Older	B.1.14	Europe	Homo sapiens	IIb	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605553		
hMPXV-IHU00016	2022-07-22	France	2022-09-07	Older	B.1.14	Europe	Homo sapiens	IIb	Colson,P.	OP382493	1.00	1.00
hMPXV-IHU00015	2022-07-22	France	2022-09-07	Older	B.1.14	Europe	Homo sapiens	IIb	Colson,P.	OP382492	1.00	1.00
MPXV_IRBA22-11	2022-05-19	France	2022-06-14	Older	B.1	Europe	Homo sapiens	IIb	Jarjaval,F., Nolent,F., Criqui,A., Chapus,C., Lamer,O., Ferraris,O., Gorge,O.	ON755039		
MPXV/Germany/2022/ON/RKI660	2022-08-26	Germany	2023-01-03	One month ago	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OQ159055		
MPXV/Germany/2022/ON/RKI445	2022-09-01	Germany	2022-10-12	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP615321		
ID6821	2022-06-21	Italy	2022-11-16	Older	B.1	Europe	Homo sapiens	IIb	Viscardi,M., Cozzolino,L., De Martinis,C., Cardillo,L., Fusco,G.	OP838893		
hMPXV-IHU00004	2022-07-04	France	2022-09-07	Older	B.1	Europe	Homo sapiens	IIb	Colson,P.	OP382481	0.50	1.00
MpxV/human/CAN/UN-NML-4017/2022	2022-07-05	Canada	2022-08-22	Older	B.1	North America	Homo sapiens	IIb	Duggan,A., Hole,D., Yadav,C., Knox,N., Tyler,A., Haidl,E., Chapel,M., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Antonation,K., Griffiths,E., Jolly,G., Charest,H., Levade,I., Fafard,J.	OP270026		
hMPXV-IHU00009	2022-07-07	France	2022-09-07	Older	B.1	Europe	Homo sapiens	IIb	Colson,P.	OP382486	1.00	1.00
MPXV-1047	2022-06-07	France	2023-01-11	One month ago	B.1	Europe	Homo sapiens	IIb	Zeggagh,J., Ferraris,O., Salmona,M., Tarantola,A., Molina,J.M., Delaugerre,C.	OQ172215		
Monkeypox/PT0572/2022	2022-09-05	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555643	1.00	1.00
Monkeypox/PT0551/2022	2022-08-26	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555622		
MPXV_UK_2022_9000145	2022-06-16	United Kingdom	2022-08-11	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205108		
Monkeypox/PT0594/2022	2022-09-15	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555661	1.00	1.00
Monkeypox/PT0546/2022	2022-08-27	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555617	1.00	1.00
DC_INS_MPX_0718_L	2022-08-16	Colombia	2022-10-21	Older	B.1.9	South America	Homo sapiens	IIb	Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M.	OP693652		
MPX/PT0052/2022	2022-07-30	Portugal	2022-08-17	Older	B.1.9	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP245309	0.75	1.00
Monkeypox/PT0331/2022	2022-05-28	Portugal	2022-09-12	Older	B.1.9	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414362		
Monkeypox/PT0039/2022	2022-06-02	Portugal	2022-06-24	Older	B.1.9	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON843179		
Monkeypox/PT0043/2022	2022-05-30	Portugal	2022-06-24	Older	B.1.9	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON843175		
Monkeypox/PT0008/2022	2022-05-15	Portugal	2022-05-24	Older	B.1.9	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON585038	1.00	1.00
Monkeypox/PT0255/2022	2022-06-18	Portugal	2022-09-12	Older	B.1.9	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414296	1.00	1.00
Monkeypox/PT0005/2022	2022-05-15	Portugal	2022-05-24	Older	B.1.9	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON585037	1.00	1.00
MpxV/human/CAN/UN-NML-3336/2022	2022-06-01	Canada	2022-06-30	Older	B.1.9	North America	Homo sapiens	IIb	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880538	1.00	1.00
Monkeypox/PT0045/2022	2022-06-06	Portugal	2022-06-24	Older	B.1.9	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON843181	1.00	1.00
Monkeypox/PT0223/2022	2022-06-24	Portugal	2022-08-29	Older	B.1.9	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324533		
Monkeypox/PT0229/2022	2022-06-22	Portugal	2022-08-29	Older	B.1.9	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324538	1.00	1.00
Monkeypox/PT0537/2022	2022-08-19	Portugal	2022-09-30	Older	B.1.9	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555608	1.00	1.00
